=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:19:54.361 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"
19:19:54.381 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Windows PowerShell"
19:19:54.596 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-CC"
19:19:54.824 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "claude"
19:19:57.161 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-CC"
19:20:19.129 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u2733 verify-win32-assumptions"
19:20:23.252 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068Oleksandra Suchova\u2069 \u2013 (5)"
19:20:23.253 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (5)"
19:25:12.290 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068Oleksandra Suchova\u2069 \u2013 (6)"
19:25:12.292 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (6)"
19:28:04.275 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (7)"
19:28:47.726 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:48.687 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:49.647 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:50.609 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:51.570 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:52.530 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:53.490 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:54.451 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:55.412 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:56.371 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:57.333 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:28:58.294 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:28:59.255 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:00.215 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:01.177 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:02.138 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:03.099 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
